"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Early-demographic dividend","EAR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.463198575248","18.0639997151476","18.4772849454566","18.3478081021372","17.7766153708424","16.5174560276198","15.3203077062674","14.6315053497341","14.0991859704121","13.6301869268982","13.1171194323309","12.7364918435182","12.4121377805742","12.0262854510179","11.7709138473117","11.5064081251822","11.2944184963966","11.2770037638835","12.0173123948221","","",
"East Asia & Pacific","EAS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2029732085881","11.6474970010877","10.9502567801862","10.3411832307476","9.63863718694052","8.87844566704785","8.00566542370734","7.17977179713787","6.1485112780622","5.63945905613654","5.28688313221476","5.0898375449887","4.89519022741623","4.77116771650789","4.62111686460224","4.53443637794803","4.4222453245202","4.3403501690411","4.33230954009204","","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18310797721152","4.82959574721921","4.50696114786748","4.15434760900941","3.90044849581016","3.65976828068598","3.5078584795182","3.42893414389256","3.19881424905349","2.95269874495951","2.72539316439368","2.69811775889959","2.68939307628223","2.69371986986751","2.71490709398486","2.71657858850911","2.7095616805559","2.68927029765552","2.70544290894","","",
"Europe & Central Asia","ECS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.75441751548128","3.58011106762727","3.42681807712357","3.26357123686849","3.14490026466306","3.03791756991785","2.96793626432179","2.92887604414291","2.82185040931215","2.71047641894674","2.60983216507421","2.59803206037979","2.59600294034567","2.60345838721247","2.61618818065088","2.61517082510867","2.60548544160703","2.59408984594016","2.60081323038925","","",
"Ecuador","ECU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","22.7","22.7","22.7","22.4","22.8","22.1","21.3","16","12.3","8.5","9.1","9","8.9","9","9.7","10.7","11.2","12.4","","",
"Egypt, Arab Rep.","EGY","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.4","6","6.4","6.4","6","5.7","5.6","5.5","5.4","5.1","5.2","4.9","4.6","4.4","4.6","4.9","5.1","5.4","","",
"Euro area","EMU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58772532507841","2.5816948708228","2.57415660043308","2.56933341603127","2.56484742442961","2.56613025271137","2.56092593945497","2.55124011215625","2.53653481228376","2.52828519702912","2.52655765290034","2.52697082610552","2.53153432591473","2.54584826530454","2.55431974812028","2.54944603801164","2.53188134311255","2.52548352162653","2.52390189415989","","",
"Eritrea","ERI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Estonia","EST","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","3.5","3.3","2.9","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
